"id";"scope";"strategy";"identity";"attempt";"success";"failure_reason";"user_id";"user_type";"context";"ip";"user_agent";"referrer";"city";"region";"country";"latitude";"longitude";"created_at";"warnlisted_ip_id";"token";"origin";"session_id"
44678;user;database_authenticatable;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"189.85.177.116";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36";https://ib.cashway.io/;Sao Jose;Santa Catarina;Brazil;-27.5798;-48.6584;2022-06-07 11:55:23.716;;;;
44679;user;token;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"189.85.177.116";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36";https://ib.cashway.io/;Sao Jose;Santa Catarina;Brazil;-27.5798;-48.6584;2022-06-07 11:55:23.734;;;;
44989;user;database_authenticatable;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ib.cashway.io/;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-07 21:54:27.130;;;;
44990;user;token;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ib.cashway.io/;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-07 21:54:27.150;;;;
49659;user;database_authenticatable;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";Dart/2.14 (dart:io);https://cwbank.ib.cashway.io/api/v3/auth/sign_in;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-22 20:36:24.232;;;;
49660;user;token;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";Dart/2.14 (dart:io);https://cwbank.ib.cashway.io/api/v3/auth/sign_in;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-22 20:36:24.255;;;;
49663;user;database_authenticatable;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ib.cashway.io/;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-22 20:40:37.072;;;;
49664;user;token;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.39";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://ib.cashway.io/;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-06-22 20:40:37.088;;;;
67150;user;database_authenticatable;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.24";Dart/2.14 (dart:io);https://cwbank.ib.cashway.io/api/v3/auth/sign_in;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-07-19 17:10:58.270;;;;
67151;user;token;"27_1";0;true;;209;User;api/v3/overrides/sessions#create;"200.225.113.24";Dart/2.14 (dart:io);https://cwbank.ib.cashway.io/api/v3/auth/sign_in;Florianópolis;Santa Catarina;Brazil;-27.6027;-48.5541;2022-07-19 17:10:58.295;;;;
